Justin Jefferson (MIN - WR),54
Christian McCaffrey (SF - RB),53
Ja'Marr Chase (CIN - WR),52
Austin Ekeler (LAC - RB),50
Tyreek Hill (MIA - WR),50
Cooper Kupp (LAR - WR)INJ,50
Bijan Robinson (ATL - RB),47
Travis Kelce (KC - TE),46
CeeDee Lamb (DAL - WR),44
Stefon Diggs (BUF - WR),43
Derrick Henry (TEN - RB),41
Josh Jacobs (LV - RB),41
Nick Chubb (CLE - RB),41
Davante Adams (LV - WR)INJ,41
Saquon Barkley (NYG - RB),40
Tony Pollard (DAL - RB),39
A.J. Brown (PHI - WR),37
Jonathan Taylor (IND - RB),36
Amon-Ra St. Brown (DET - WR),36
Joe Mixon (CIN - RB),35
Rhamondre Stevenson (NE - RB),35
Patrick Mahomes II (KC - QB),33
Aaron Jones (GB - RB),33
Jaylen Waddle (MIA - WR),33
Josh Allen (BUF - QB),32
Jalen Hurts (PHI - QB),31
Breece Hall (NYJ - RB)INJ,31
Najee Harris (PIT - RB),31
Garrett Wilson (NYJ - WR),30
Travis Etienne Jr. (JAC - RB),28
Amari Cooper (CLE - WR),28
Tee Higgins (CIN - WR),28
Alexander Mattison (MIN - RB),27
Deebo Samuel (SF - WR),27
Chris Olave (NO - WR),27
DeVonta Smith (PHI - WR),27
James Conner (ARI - RB),26
Kenneth Walker III (SEA - RB),26
DK Metcalf (SEA - WR),26
Calvin Ridley (JAC - WR),26
Christian Watson (GB - WR),25
Keenan Allen (LAC - WR),25
Lamar Jackson (BAL - QB),24
Jahmyr Gibbs (DET - RB),24
Dameon Pierce (HOU - RB),24
Jerry Jeudy (DEN - WR),24
Mark Andrews (BAL - TE),24
Joe Burrow (CIN - QB)INJ,23
Miles Sanders (CAR - RB),22
Rachaad White (TB - RB),22
Terry McLaurin (WAS - WR),22
Christian Kirk (JAC - WR),22
Mike Williams (LAC - WR),22
T.J. Hockenson (MIN - TE),22
DeAndre Hopkins (TEN - WR),21
Chris Godwin (TB - WR),21
Mike Evans (TB - WR),21
Isiah Pacheco (KC - RB),20
Cam Akers (LAR - RB),20
J.K. Dobbins (BAL - RB)INJ,19
David Montgomery (DET - RB),19
DJ Moore (CHI - WR),19
Javonte Williams (DEN - RB)INJ,18
Drake London (ATL - WR),18
Marquise Brown (ARI - WR),18
George Kittle (SF - TE),18
Justin Fields (CHI - QB),17
Alvin Kamara (NO - RB),17
James Cook (BUF - RB),17
Tyler Lockett (SEA - WR),17
Justin Herbert (LAC - QB),16
Brandin Cooks (DAL - WR),16
Brandon Aiyuk (SF - WR),16
